11366,100.000 ,19.975.000 ,1.465.500 ,21.540.500 
14492,100.000 ,2.385.000 ,1.438.900 ,3.923.900 
20010,100.000 ,7.760.000 ,365.000 ,8.225.000 
21628,100.000 ,18.869.500 ,321.000 ,19.290.500 
26080,100.000 ,5.960.000 ,3.964.200 ,10.024.200 
27877,100.000 ,18.805.000 ,400.000 ,19.305.000 
27974,100.000 ,950.000 ,196.200 ,1.246.200 
28589,100.000 ,19.854.500 ,0 ,19.954.500 
29698,100.000 ,19.267.500 ,2.606.000 ,21.973.500 
30320,100.000 ,3.025.000 ,866.600 ,3.991.600 
32159,100.000 ,16.600.000 ,311.000 ,17.011.000 
33091,100.000 ,6.737.000 ,1.281.300 ,8.118.300 
33786,100.000 ,15.550.000 ,5.000 ,15.655.000 
35193,100.000 ,13.500.000 ,1.380.200 ,14.980.200 
35436,100.000 ,14.600.000 ,254.000 ,14.954.000 
35985,100.000 ,650.000 ,267.200 ,1.017.200 
36315,100.000 ,5.150.000 ,1.238.200 ,6.488.200 
36596,100.000 ,13.450.000 ,139.000 ,13.689.000 
36661,100.000 ,19.894.500 ,20.000 ,20.014.500 
36759,100.000 ,8.700.000 ,2.307.600 ,11.107.600 
36920,100.000 ,600.000 ,1.069.100 ,1.769.100 
36958,100.000 ,7.754.500 ,1.356.600 ,9.211.100 
36984,100.000 ,18.750.000 ,362.600 ,19.212.600 
37023,100.000 ,18.675.000 ,9.410.000 ,28.185.000 
37554,100.000 ,5.700.000 ,1.347.300 ,7.147.300 
37581,100.000 ,19.904.500 ,2.107.500 ,22.112.000 
37953,100.000 ,4.950.000 ,1.107.900 ,6.157.900 
38326,100.000 ,19.404.500 ,0 ,19.504.500 
38471,100.000 ,19.848.000 ,39.919.800 ,59.867.800 
38596,100.000 ,15.230.000 ,100.000 ,15.430.000 
38878,100.000 ,7.948.000 ,1.683.000 ,9.731.000 
38885,100.000 ,13.200.000 ,152.000 ,13.452.000 
39087,100.000 ,17.150.000 ,362.000 ,17.612.000 
39189,100.000 ,17.550.000 ,190.000 ,17.840.000 
39206,100.000 ,8.800.000 ,1.731.000 ,10.631.000 
39245,100.000 ,18.880.000 ,9.170.000 ,28.150.000 
39314,100.000 ,18.568.000 ,7.670.000 ,26.338.000 
39400,100.000 ,9.725.000 ,1.345.000 ,11.170.000 
39404,100.000 ,19.431.000 ,2.981.950 ,22.512.950 
39546,100.000 ,19.605.000 ,470.100 ,20.175.100 
39660,100.000 ,11.200.000 ,633.000 ,11.933.000 
39685,100.000 ,16.350.000 ,5.382.000 ,21.832.000 
39736,100.000 ,7.800.000 ,4.500.000 ,12.400.000 
39844,100.000 ,11.650.000 ,183.000 ,11.933.000 
40255,100.000 ,8.200.000 ,14.775.000 ,23.075.000 
40266,100.000 ,17.125.000 ,70.000 ,17.295.000 
40282,100.000 ,18.150.000 ,1.220.000 ,19.470.000 
40292,100.000 ,17.950.000 ,70.000 ,18.120.000 
40407,100.000 ,16.550.000 ,12.259.200 ,28.909.200 
40512,100.000 ,5.700.000 ,5.700.000 ,11.500.000 
40857,100.000 ,14.050.000 ,493.400 ,14.643.400 
40864,100.000 ,18.815.000 ,14.592.700 ,33.507.700 
40869,100.000 ,4.975.000 ,517.100 ,5.592.100 
40879,100.000 ,18.200.000 ,284.000 ,18.584.000 
40881,100.000 ,18.600.000 ,39.094.500 ,57.794.500 
40970,100.000 ,1.700.000 ,560.500 ,2.360.500 
41275,100.000 ,16.625.000 ,570.000 ,17.295.000 
41285,100.000 ,18.355.000 ,10.244.000 ,28.699.000 
41293,100.000 ,14.600.000 ,546.000 ,15.246.000 
41295,100.000 ,17.750.000 ,191.000 ,18.041.000 
41296,100.000 ,17.825.000 ,20.000 ,17.945.000 
41301,100.000 ,17.375.000 ,1.386.350 ,18.861.350 
41304,100.000 ,15.575.000 ,794.400 ,16.469.400 
41377,100.000 ,9.700.000 ,1.400.700 ,11.200.700 
41486,100.000 ,18.650.000 ,20.000 ,18.770.000 
41487,100.000 ,18.200.000 ,413.000 ,18.713.000 
41490,100.000 ,17.325.000 ,1.341.900 ,18.766.900 
41491,100.000 ,16.400.000 ,0 ,16.500.000 
41496,100.000 ,15.300.000 ,381.800 ,15.781.800 
41501,100.000 ,16.650.000 ,375.000 ,17.125.000 
41504,100.000 ,17.350.000 ,4.695.000 ,22.145.000 
41505,100.000 ,17.650.000 ,328.000 ,18.078.000 
41510,100.000 ,18.945.000 ,6.820.100 ,25.865.100 
41511,100.000 ,18.550.000 ,5.870.000 ,24.520.000 
41512,100.000 ,17.000.000 ,14.320.000 ,31.420.000 
41514,100.000 ,16.925.000 ,10.000.000 ,27.025.000 
41519,100.000 ,4.150.000 ,998.000 ,5.248.000 
41688,100.000 ,4.600.000 ,14.000 ,4.714.000 
41693,100.000 ,1.700.000 ,0 ,1.800.000 
41765,100.000 ,13.450.000 ,500.000 ,14.050.000 
42327,100.000 ,15.800.000 ,19.000.000 ,34.900.000 
42527,100.000 ,19.680.000 ,7.520.000 ,27.300.000 
42973,100.000 ,10.600.000 ,1.735.300 ,12.435.300 
43095,100.000 ,15.350.000 ,1.458.900 ,16.908.900 
43097,100.000 ,18.955.000 ,207.000 ,19.262.000 
43103,100.000 ,17.500.000 ,495.000 ,18.095.000 
43537,100.000 ,17.925.000 ,70.000 ,18.095.000 
43538,100.000 ,17.775.000 ,20.000 ,17.895.000 
43734,100.000 ,950.000 ,619.000 ,1.669.000 
44454 ,100.000 ,1.000.000 ,0 ,1.100.000 
44541,100.000 ,8.600.000 ,249.000 ,8.949.000 
44543,100.000 ,16.875.000 ,20.000 ,16.995.000 
44545,100.000 ,15.700.000 ,8.000.000 ,23.800.000 
44546 ,100.000 ,16.975.000 ,16.607.000 ,33.682.000 
44549,100.000 ,16.725.000 ,1.513.000 ,18.338.000 
44558,100.000 ,18.475.000 ,200.000 ,18.775.000 
44560,100.000 ,16.250.000 ,70.000 ,16.420.000 
44583,100.000 ,11.450.000 ,673.900 ,12.223.900 
44591,100.000 ,17.525.000 ,20.000 ,17.645.000 
45602,100.000 ,2.000.000 ,1.012.900 ,3.112.900 
45918,100.000 ,17.050.000 ,2.453.700 ,19.603.700 
45991,100.000 ,14.200.000 ,885.400 ,15.185.400 
45993,100.000 ,12.300.000 ,800.000 ,13.200.000 
46003,100.000 ,12.700.000 ,0 ,12.800.000 
46294,100.000 ,6.800.000 ,34.000.000 ,40.900.000 
46366,100.000 ,8.600.000 ,0 ,8.700.000 
46370,100.000 ,16.800.000 ,20.000 ,16.920.000 
46371,100.000 ,15.300.000 ,50.000 ,15.450.000 
46372,100.000 ,18.525.000 ,3.956.000 ,22.581.000 
46375,100.000 ,17.150.000 ,0 ,17.250.000 
46376,100.000 ,16.275.000 ,70.000 ,16.445.000 
46382,100.000 ,4.450.000 ,1.162.500 ,5.712.500 
46395,100.000 ,16.750.000 ,1.219.500 ,18.069.500 
46396,100.000 ,14.250.000 ,318.600 ,14.668.600 
46398,100.000 ,11.230.000 ,892.000 ,12.222.000 
46401,100.000 ,18.275.000 ,746.700 ,19.121.700 
46402,100.000 ,13.335.000 ,1.000.000 ,14.435.000 
46411,100.000 ,17.100.000 ,4.395.000 ,21.595.000 
46416,100.000 ,18.700.000 ,1.000.000 ,19.800.000 
46417,100.000 ,11.400.000 ,800.000 ,12.300.000 
46418,100.000 ,16.000.000 ,710.500 ,16.810.500 
46421,100.000 ,5.000.000 ,1.442.000 ,6.542.000 
46427,100.000 ,17.300.000 ,734.000 ,18.134.000 
46470,100.000 ,16.500.000 ,10.677.100 ,27.277.100 
46566,100.000 ,5.500.000 ,754.000 ,6.354.000 
46929,100.000 ,3.000.000 ,10.754.700 ,13.854.700 
47118,100.000 ,15.100.000 ,120.000 ,15.320.000 
47119,100.000 ,15.650.000 ,874.000 ,16.624.000 
47130,100.000 ,500.000 ,481.900 ,1.081.900 
47205,100.000 ,17.025.000 ,374.000 ,17.499.000 
47259,100.000 ,20.225.000 ,1.000.000 ,21.325.000 
47275,100.000 ,17.050.000 ,70.000 ,17.220.000 
47332,100.000 ,14.925.000 ,2.566.300 ,17.591.300 
48057,100.000 ,16.550.000 ,9.420.000 ,26.070.000 
48058,100.000 ,5.300.000 ,0 ,5.400.000 
48200,100.000 ,16.150.000 ,1.978.200 ,18.228.200 
48243,100.000 ,17.525.000 ,20.000 ,17.645.000 
48290,100.000 ,9.600.000 ,4.800.000 ,14.500.000 
48294 ,100.000 ,4.100.000 ,400.000 ,4.600.000 
48355 ,100.000 ,15.750.000 ,4.900.000 ,20.750.000 
48365 ,100.000 ,2.100.000 ,0 ,2.200.000 
48403,100.000 ,11.900.000 ,0 ,12.000.000 
48475,100.000 ,15.050.000 ,20.000 ,15.170.000 
48619 ,100.000 ,1.250.000 ,551.000 ,1.901.000 
48654,100.000 ,1.650.000 ,483.900 ,2.233.900 
49159,100.000 ,16.450.000 ,70.000 ,16.620.000 
49163,100.000 ,12.800.000 ,520.000 ,13.420.000 
49167,100.000 ,14.900.000 ,261.000 ,15.261.000 
49168,100.000 ,15.700.000 ,503.000 ,16.303.000 
49172,100.000 ,15.650.000 ,3.523.000 ,19.273.000 
49183,100.000 ,3.100.000 ,12.400.000 ,15.600.000 
49187,100.000 ,17.675.000 ,25.000 ,17.800.000 
49190,100.000 ,15.550.000 ,20.000 ,15.670.000 
49191 ,100.000 ,17.950.000 ,295.750 ,18.345.750 
49192,100.000 ,16.400.000 ,555.600 ,17.055.600 
49220,100.000 ,18.760.000 ,8.335.000 ,27.195.000 
49296,100.000 ,15.750.000 ,0 ,15.850.000 
49392,100.000 ,16.150.000 ,20.000 ,16.270.000 
49527 ,100.000 ,14.800.000 ,1.074.000 ,15.974.000 
49554 ,100.000 ,18.420.000 ,11.700.000 ,30.220.000 
49592,100.000 ,12.900.000 ,70.000 ,13.070.000 
49711 ,100.000 ,11.900.000 ,500.000 ,12.500.000 
49727 ,100.000 ,2.100.000 ,0 ,2.200.000 
49742,100.000 ,15.650.000 ,0 ,15.750.000 
49786,100.000 ,7.100.000 ,0 ,7.200.000 
49810,100.000 ,12.150.000 ,0 ,12.250.000 
49835 ,100.000 ,1.000.000 ,1.000.000 ,2.100.000 
49891,100.000 ,14.900.000 ,120.000 ,15.120.000 
49963,100.000 ,14.950.000 ,3.000.000 ,18.050.000 
49975,100.000 ,15.950.000 ,300.000 ,16.350.000 
50011 ,100.000 ,15.700.000 ,166.000 ,15.966.000 
50017,100.000 ,15.850.000 ,20.000 ,15.970.000 
50098,100.000 ,15.350.000 ,20.000 ,15.470.000 
50105,100.000 ,15.950.000 ,20.000 ,16.070.000 
50239,100.000 ,15.300.000 ,483.000 ,15.883.000 
50303 ,100.000 ,1.800.000 ,0 ,1.900.000 
50468,100.000 ,2.700.000 ,6.402.000 ,9.202.000 
50587,100.000 ,14.150.000 ,747.400 ,14.997.400 
51046,100.000 ,4.500.000 ,1.100.000 ,5.700.000 
51794 ,100.000 ,12.950.000 ,4.370.000 ,17.420.000 
51908,100.000 ,4.500.000 ,0 ,4.600.000 
51910,100.000 ,15.550.000 ,20.000 ,15.670.000 
51911,100.000 ,3.200.000 ,900.000 ,4.200.000 
51912,100.000 ,14.600.000 ,20.000 ,14.720.000 
51913,100.000 ,3.200.000 ,0 ,3.300.000 
51914,100.000 ,12.600.000 ,1.050.800 ,13.750.800 
51915,100.000 ,9.150.000 ,894.600 ,10.144.600 
51919,100.000 ,10.600.000 ,151.200 ,10.851.200 
51920,100.000 ,15.300.000 ,800.000 ,16.200.000 
51923 ,100.000 ,14.900.000 ,20.000 ,15.020.000 
51926,100.000 ,13.450.000 ,2.355.400 ,15.905.400 
51927,100.000 ,11.400.000 ,1.850.000 ,13.350.000 
51929,100.000 ,15.450.000 ,20.000 ,15.570.000 
51932,100.000 ,19.010.000 ,355.000 ,19.465.000 
51934 ,100.000 ,2.100.000 ,2.100.000 ,4.300.000 
51935,100.000 ,19.385.000 ,21.800.000 ,41.285.000 
51938,100.000 ,15.750.000 ,3.500.000 ,19.350.000 
51942 ,100.000 ,14.250.000 ,7.320.000 ,21.670.000 
51944,100.000 ,19.275.000 ,2.950.000 ,22.325.000 
51948 ,100.000 ,15.550.000 ,10.200.000 ,25.850.000 
51949 ,100.000 ,15.550.000 ,20.000 ,15.670.000 
51952,100.000 ,5.500.000 ,1.375.000 ,6.975.000 
51955,100.000 ,12.750.000 ,280.000 ,13.130.000 
51957,100.000 ,5.600.000 ,0 ,5.700.000 
51958,100.000 ,15.250.000 ,4.000.000 ,19.350.000 
51959,100.000 ,18.615.000 ,2.110.000 ,20.825.000 
51961,100.000 ,15.250.000 ,20.000 ,15.370.000 
51962,100.000 ,14.550.000 ,500.000 ,15.150.000 
51968,100.000 ,13.850.000 ,320.000 ,14.270.000 
51976,100.000 ,8.000.000 ,237.000 ,8.337.000 
51981 ,100.000 ,3.900.000 ,2.000 ,4.002.000 
51984,100.000 ,15.750.000 ,6.226.000 ,22.076.000 
51989,100.000 ,15.050.000 ,650.000 ,15.800.000 
51992,100.000 ,14.750.000 ,5.020.000 ,19.870.000 
51993,100.000 ,15.450.000 ,2.400.000 ,17.950.000 
51996,100.000 ,15.450.000 ,7.620.000 ,23.170.000 
51997 ,100.000 ,900.000 ,0 ,1.000.000 
52000,100.000 ,16.875.000 ,4.000.000 ,20.975.000 
52006,100.000 ,15.250.000 ,1.820.000 ,17.170.000 
52008 ,100.000 ,15.650.000 ,24.350.000 ,40.100.000 
52010,100.000 ,15.650.000 ,20.000 ,15.770.000 
52015,100.000 ,14.600.000 ,104.000 ,14.804.000 
52017,100.000 ,15.750.000 ,3.020.000 ,18.870.000 
53332 ,100.000 ,10.800.000 ,0 ,10.900.000 
